OBJECTID,Program,PROJIS,Notes,TFPC,Subregion,Municipality,Project Proponent,Project Name,MPO Evaluation Score,Year Programmed,Highway Division,Adjusted TFPC,Funding 2025,Funding 2026,Funding 2027,Funding 2028,Funding 2029,Funding Other,Funding Notes,Associated TIPs,Infrastructure or Service,Project Type,Year Added to Universe,Date of Last Update,Flag for Retirement?,Programmed Cost,Advertise Date,Programmed?,Origin Date,GlobalID,Geometry Notes,To_Score,Design Status,Version Last Updated,Shape__Length,CreationDate,Creator,EditDate,Editor,Response
64,Flex to FTA,S12703,"This project will establish an on-demand microtransit service for the towns of Bolton, Boxborough, Littleton, and Stow, to be operated by the Montachusett Regional Transit Authority (MART). The primary goals of the project are to connect residents to employment centers and activity hubs in the region while providing a low-cost transportation alternative to single-occupancy vehicles. The service will utilize MART’s existing vehicle fleet and will allow riders to book trips through a mobile app. This project was funded through the FFY 2023 round of grants through the MPO’s Community Connections Program, and was funded with $479,066 in that year.","$1,316,061",MAGIC,"Bolton, Boxborough, Littleton, Stow",Montachusett RTA,Montachusett RTA Microtransit Service,57,2023-2025,3,"$1,316,061","$406,641",$-,$-,$-,$-,,Funding in 2024,2023-2027; 2024-2028,Service,Community Connections,,,,"$1,316,061",,Y,,67716bd9-21bb-4d4b-b15f-f7ac6e8765a4,"Linked geometry: bolton, boxboro, littleton, stow",,N/A,0.1,570.296936146301,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
65,Transit Grant Program,S12971,"This project will design and engineer improvements to the MetroWest Regional Transit Authority’s Blandin Hub facility, the MWRTA’s primary operations and maintenance building and a key passenger transportation hub. The Blandin Hub may be upgraded to feature an ADA-accessible driver dispatch and driver area within the operations facility. The project includes upgrades to electrical systems and HVAC energy recovery, restrooms, and driver amenities for a new training facility and expanded vehicle bays. The design will expand the customer waiting and transfer area to include a weather-enclosed waiting space in addition to other rider amenities.","$2,500,000",MWRC,Framingham,MWRTA,MWRTA-Blandin Hub Equitable Redesign Initiative,N/A,2025-26,3,"$2,500,000","$1,750,000","$750,000",$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$2,500,000",,Y,,b6fca671-f4af-4add-bcd9-fe72e78ca63a,,,N/A,0.1,230.919620397572,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
66,Transit Grant Program,S12970,"**Cost increase of $1,800,000 for FFY 2026--might get amended for 2025. This project will replace four vehicles in CATA’s bus fleet that have reached the end of their useful life. Two vehicles reached the end of their lifecycle in 2022 and two in 2023. The vehicles will be procured using an existing option for purchase of diesel electric hybrid buses.","$2,460,000",NSTF,"Gloucester, Rockport, Essex, Ipswich, Hamilton",CATA,CATA-Vehicle Replacement (4 Vehicles),N/A,2025-26,4,"$2,460,000","$1,710,000","$750,000",$-,$-,$-,,,,Infrastructure,Transit Transformation,,,,"$2,460,000",,Y,,5dee5512-5951-4b33-b06f-a9c239a1ce42,"Linked geometry: Rockport, Gloucester, Hamilton, Essex, Ipswich",Yes (rescore),N/A,1.1,248.526278565166,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/15/2025 4:40:20 PM,ajacobsen_CTPS,
67,Flex to FTA,S12700,,"$813,291",NSTF,"Gloucester, Rockport",CATA,CATA On Demand Microtransit Service Expansion,61.75,2023-2025,4,"$813,291","$214,776",$-,$-,$-,$-,,Funding in 2024,2023-2027; 2024-2028,Service,Transit Transformation,,,,"$813,291",,Y,,5a21a3ce-0c93-4a2c-89c3-1c714ee1efa7,Linked geometry: rockport and lanesville,,N/A,0.1,248.437136779135,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/15/2025 4:40:20 PM,ajacobsen_CTPS,
68,Bicycle and Pedestrian,S12959,"The City of Boston proposes the installation of 1,600 bike racks (3,200 bike parking spaces). These racks are fabricated to slide over existing parking meter poles as part of an ongoing effort by the City to replace all 6,000 single-space parking meters in Boston with multi-space meter kiosks. This project would dramatically increase bicycle parking in Boston’s busiest commercial and job centers.","$379,470",ICC,Boston,Boston,Repurposing Single Space Parking Meter Poles for 1600 Bicycle Racks,82,2025,6,"$379,470","$379,470",$-,$-,$-,$-,,,,Infrastructure,Community Connections,,,,"$379,470",,Y,,4c92407f-568f-4c3b-9ff0-2180eedaa0fc,Linked geometry: city of Boston,,N/A,0.1,353.850322650809,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
69,Flex to FTA,S12807,This project will expand the MetroWest Regional Transit Authority’s (MWRTA) CatchConnect mictrotransit program within the municipalities of Framingham and Natick. The expanded service will improve weeknight mobility in evening hours between 7:30 PM and 10:30 PM Monday through Friday to provide a supplemental public transportation resource following the conclusion of traditional fixed-route service.,"$468,125",MWRC,"Framingham, Natick",MWRTA,CatchConnect Microtransit Service Expansion Phase 2 (Framingham and Natick Extended Hours),90,2024-2026,3,"$468,125","$165,625","$162,500",$-,$-,$-,,Funding in 2024,2024-2028,Service,Community Connections,,,,"$503,125",,Y,,7ec30cf4-9298-42b8-a166-2baf2d962392,Linked geometry: Framingham and Natick,,N/A,0.1,228.079632356593,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
70,Transit Grant Program,S12969,"**Cost increase of $312,500--might get amended for 2025. This project will modernize and weatherize CATA’s operating facility in Gloucester with plumbing and HVAC upgrades, fuel system storage and hose replacements, repair or replacement of facility windows and garage doors, emergency power supply replacement, and culvert repair to ensure continued access to the facility.","$1,293,000",NSTF,Gloucester,CATA,CATA-Gloucester Facility Modernization,N/A,2025,4,"$1,293,000","$1,293,000",$-,$-,$-,$-,,,2023-2027; 2024-2028,Infrastructure,Transit Transformation,,,,"$1,293,000",,Y,,0db311bd-741d-4ffb-a5af-e8da0e7febf1,,Yes (rescore),N/A,1.1,249.056966447816,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/15/2025 4:40:20 PM,ajacobsen_CTPS,
71,Roadway Reconstruction,S13039,"Joint application for design funding may emerge, majority of pavement is in Maynard.",$-,MAGIC,"Acton, Maynard",Acton-Maynard,Route 62 Complete Streets Design (Knox Trail to Waltham Street),N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Design,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,218f1d64-d4a0-4eb3-ac48-1ef7d544e1a1,,,Preliminary Design,0.1,2186.45165664677,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
72,Bicycle and Pedestrian,S13088,Added through subregional outreach. Feasibility study currently underway.,$-,TRIC,Canton,Canton,"Warner Trail Extension, from Sharon to Blue Hills Reservation",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,,,N/A,,N,8/20/2024 12:00:00 AM,dfb62f89-0cef-43bb-9602-c1611ef6d8d4,,,Preliminary Design,0.1,21077.9953026779,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
73,Roadway Reconstruction,609381,"Not yet at 25% design.  Bayside Engineering handling design, Norman Brown (781-932-3201, nbrown@baysideengineering.com) is PM.  Culvert and turtle crossings.  Town may consider descoping and phasing the project due to cost, per 12/20/2022 conversation with PM.","$21,521,921",NSPC,Lynnfield,Lynnfield,LYNNFIELD- RECONSTRUCTION OF SUMMER STREET,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2019,04/18/2019,,N/A,,N,4/18/2019 12:00:00 AM,38005276-9155-4677-bd3b-ce24dcdcf49f,,,PRC Approved,0.1,4308.90020107873,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
74,Intersection Improvements,S13087,"Application submitted for FFY 2024-2028 TIP.  Municipality requested $50,000 against a total estimate of $500,000.  Significant funding in local mitigation fund for match.","$500,000",TRIC,Canton,Canton,CANTON- Signal Installation at Randolph Street and York Street,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2022,,,N/A,,N,8/20/2024 12:00:00 AM,eddde2f6-6109-47b7-89c8-e557578146eb,,,Preliminary Design,0.1,206.173570104754,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
75,Roadway Reconstruction,S13086,BETA is design consultant.,$-,TRIC,Medfield,Medfield,MEDFIELD- Reconstruction of Route 109 (Millis T/L to Hartford Street),N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,,,N/A,,N,8/20/2024 12:00:00 AM,b8b79846-4a13-49aa-b14b-cd1f0263dd7f,,,Preliminary Design,0.1,3963.38377169151,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
76,Roadway Reconstruction,S13085,"Emerged in discussions following application of Randolph and York Street Signal Installation for FFY 2024-2028 STIP.  Sidewalk installation, bike lanes, crosswalks, roadway rehabilitation, signal improvements at the Route 138 and, potentially, York Street intersection.  Crosswalks near Ponkapoag Pond trailhead.",$-,TRIC,Canton,Canton,"CANTON- Lower Randolph Reconstruction (Route 138, Turnpike Avenue to Colts Crossing)",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,,,N/A,,N,8/20/2024 12:00:00 AM,66801af2-743d-4cb3-bafc-479f79f16b67,,,Preliminary Design,0.1,1543.7506147517,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
77,Bicycle and Pedestrian,S13084,Project at conceptual stage.,$-,SWAP,Sherborn,Sherborn,Upper Charles River Trail Extension to Framingham City Line,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,,,N/A,,N,8/20/2024 12:00:00 AM,ae858859-89cb-4b10-8eb3-5fd2fe9eaaac,,,Preliminary Design,0.1,2485.12929208504,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
78,Roadway Reconstruction,S13049,"Added through subregional outreach. Project is municipal priority, as it's tied to necessary below-grade sewer work.10/12/22: MaPIT is showing that a project was initiated back on 7.14.2020 for this stretch for resurfacing and related work, assuming $600K in total cost (likely lowball).",$-,MWRC,Holliston,Holliston,Reconstruction of Concord Street (Route 126),N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,,,N/A,,N,8/20/2024 12:00:00 AM,7b3875fe-1fcb-4f4f-96a7-0b2b386a61d8,,,Preliminary Design,0.1,2878.54422907237,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
79,Safety Improvements,613259,"Added via PRC notification email.  25% design expected within 2024, may apply for funding through FFY 2026-30 TIP.","$2,078,680",ICC,Chelsea,Chelsea,CHELSEA- INTERSECTION IMPROVEMENTS AT EVERETT AVENUE AND 3RD STREET,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,07/06/2023,,N/A,,N,6/1/2023 12:00:00 AM,d2cfd97b-d4c4-42ec-a1b7-8f2d1eeff3d2,,,PRC Approved,0.1,137.157911060145,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
80,Bicycle_and_Pedestrian,S13048,Sought funding for FFY 2025 Project Design Pilot.,"$9,000,000",MAGIC,Hudson,Hudson,Mass Central Rail Trail Extension,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,,,,N/A,,N,8/20/2024 12:00:00 AM,c5cf1c73-a005-4361-ab51-77b66f53e432,,,N/A,0.1,2955.63005851874,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
81,Bicycle and Pedestrian,613258,Design funding is a separate line item in the TIP.  This project is the Border to Boston Trail section for Salem and Peabody.,"$1,021,556",NSTF,"Peabody, Salem","Peabody, Salem",Harmony Grove Multi-Use Path Construction,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2022,06/01/2023 ,,N/A,,N,6/1/2023 12:00:00 AM,0188b3f2-ea03-4dde-a437-f5edcaecca7b,,,PRC Approved,0.1,765.489618400289,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
82,Roadway Reconstruction,S13047,,$-,MWRC,Wellesley,Wellesley,Route 135 Reconstruction (Natick Town Line to Weston Road),N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,,,N/A,,N,8/20/2024 12:00:00 AM,85e6f3f3-73f1-4640-bb2d-0db4972b7f89,,,Preliminary Design,0.1,1904.27533980055,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
83,Intersection Improvements,S13046,Based on 3/3/2023 meeting with Lynn.,"$3,000,000",Inner Core,"Lynn, Saugus",Lynn,Intersection Safety Improvements at Boston Street at Hesper &amp; Hamilton Streets,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,,,N/A,,N,8/20/2024 12:00:00 AM,5b7a2327-3821-4702-b922-65cf1af442b8,,,Preliminary Design,0.1,61.0329388578362,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
84,Transit Grant Program,S13044,Current constraint is distance from existing Bluebikes network and operating costs.,$-,MAGIC,Lexington,Lexington,Lexington Bikeshare Pilot Program,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Service,Community Connections,2023,,,N/A,,N,8/20/2024 12:00:00 AM,8ad461a1-eb4c-4624-85ed-75bd4da9a912,linked geometry: lexington,,N/A,0.1,149.07849187968,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
85,Transit Grant Program,S13043,Application in 2024-2028 TIP.,"$369,911",MAGIC,Concord,Concord,Concord Workforce Shuttle,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Service,Community Connections,2022,,,N/A,,N,8/20/2024 12:00:00 AM,e731fbc2-f241-4509-94ee-70456f14d1e3,linked geometry: concord,,N/A,0.1,99.8709711507354,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
86,Capacity,607727,"Project is not programmed in Destination 2040. Is on a regionally-significant roadway, and would expand the interchange. If this project is programmed in the TIP and adds roadway capacity, this project will need to be included in Destination 2050.","$23,000,000",NSTF,Beverly,Beverly,BEVERLY- INTERCHANGE RECONSTRUCTION AT ROUTE 128/EXIT 19 AT BRIMBAL AVENUE (PHASE II),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2021,04/07/2014,,N/A,,N,4/7/2014 12:00:00 AM,c525642b-1296-454d-a470-6b98d771f819,,,PRC Approved,0.1,2424.41694610363,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
87,Intersection Improvements,S13041,"Per discussion on 11/9/23.  Town has had significant design progress internally, still working to move forward with it.","$2,000,000",MAGIC,Acton,Acton,ACTON- Intersection Improvements at Hayward Road and Route 27,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2023,,,N/A,,N,8/20/2024 12:00:00 AM,edbc7d18-9b3e-4921-812b-6912a2b1c271,,,Preliminary Design,0.1,100.981695143652,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
88,Roadway Reconstruction,612739,North Road to match line near Loomis Street.  SRTS project completed in the area under 608000.,"$10,899,448",MAGIC,Bedford,Bedford,Roadway Reconstruction of Route 4/225 (The Great Road),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,05/12/2022,,N/A,,N,8/20/2024 12:00:00 AM,da64ecea-3320-43fa-bc75-1441ff552826,,,PRC Approved,0.1,2845.86040659409,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
89,Intersection Improvements,S13050,First discussed on 5/28/24 during discussion with Evan White in Ashland DPW.,$-,MWRC,Ashland,Ashland,ASHLAND- Intersection Improvements at Fountain and Union Street,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2024,,,N/A,,N,8/20/2024 12:00:00 AM,372cca4c-490e-4aba-a4f7-856c6d7d8dcf,,,Preliminary Design,0.1,51.1430853058463,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
90,Roadway Reconstruction,612605,PNF entered in Jan 2022,"$13,047,281",SSC,Rockland,Rockland,ROCKLAND- CORRIDOR IMPROVEMENTS ON VFW DRIVE/WEYMOUTH STREET,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,02/10/2022,,N/A,,N,2/10/2022 12:00:00 AM,6e45d775-32bc-41c9-ad2a-95a97f981f33,,,PRC Approved,0.1,2667.52082386862,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
91,Safety Improvements,609288,,"$14,000,000",Inner Core,Newton,MassDOT,NEWTON- TRAFFIC SIGNAL AND SAFETY IMPROVEMENTS AT INTERCHANGE 127 (NEWTON CORNER),N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2019,12/06/2018,,N/A,,N,12/6/2018 12:00:00 AM,70df2ce8-6dde-45f1-833e-251f9f49e560,,,PRC Approved,0.1,4492.95047429907,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
92,Bicycle and Pedestrian,612602,Meant to connect into Project 608954.  District 6 priority to ensure that the shared-use-path there ties in to the rest of the bicycle network and concludes at a logical terminus.,"$1,050,000",MWRC,Weston,MassDOT,Shared Use Path Connection on Route 30,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2022,02/10/2022,,N/A,,N,2/10/2022 12:00:00 AM,aa5211cc-e4a7-4f55-9c0d-c9fd4434d341,,,PRC Approved,0.1,5926.6507262631,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
93,Capacity,611999,,"$2,397,600",ICC,"Revere, Saugus","Revere, Saugus",REVERE- SAUGUS- ROADWAY WIDENING ON ROUTE 1 NORTH (PHASE 2),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2021,01/28/2021,Y,N/A,,N,1/28/2021 12:00:00 AM,41ab7d2a-8000-4179-8b7d-dcebdcb53491,,,PRC Approved,0.1,55316.2705188768,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
94,Bridge Inspections,612601,,"$97,538,787",ICC,"Boston, Chelsea",Boston,"BOSTON- CHELSEA- BRIDGE REHABILITATION, B-16-019, MERIDIAN STREET OVER THE CHELSEA RIVER",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Major Infrastructure,2021,02/10/2022,,N/A,,N,2/10/2022 12:00:00 AM,8c3da975-3b78-4383-b1ff-24fcf81fac0f,,,PRC Approved,0.1,595.006273440809,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
95,Intersection Improvements,613704,,"$6,183,000",TRIC,Randolph,Randolph,"RANDOLPH- INTERSECTION IMPROVEMENTS AT ROUTE 28, ROUTE 139, AND NORTH STREET",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2024,05/31/2024,,N/A,,N,5/31/2024 12:00:00 AM,a69c7cbc-e876-4133-b67e-df555e778863,,,PRC Approved,0.1,167.437368453424,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
96,Bicycle and Pedestrian,613096,Project Info # is being reserved for this project's construction.  Recent earmark recipient for design under FFY22 House THUD bill (Rep. Lori Trahan).  Design line item added to FFY23-27 in AM2 and is retaining a project ID # S12749.,"$2,232,174",MAGIC,Stow,Stow,Shared Use Path Construction on Track Road along Assabet River Rail Trail,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2022,06/16/2023,,N/A,,N,12/20/2022 12:00:00 AM,142e2596-5d72-4933-8b8c-3fef7934dddf,,,Scope to DE,0.1,5370.35704210495,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
97,Roadway Reconstruction,609280,,"$2,520,000",MWRC,Framingham,MassDOT,"FRAMINGHAM- ROUNDABOUT CONSTRUCTION AT SALEM END ROAD, BADGER ROAD AND GATES STREET",N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Intersection Improvements,2019,12/06/2018,,N/A,,N,12/6/2018 12:00:00 AM,bff8a655-fbeb-436e-905e-fc253789b8b6,,,PRC Approved,0.1,266.199138208032,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
98,Roadway Reconstruction,612737,,"$12,061,330",NSTF,Rockport,Rockport,ROCKPORT- ROADWAY RECONSTRUCTION OF ROUTE 127A (THATCHER ROAD),N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2023,01/23/2023,,N/A,,N,9/15/2022 12:00:00 AM,ff819524-8240-4b9f-8278-2889c2bb1ee4,,,PRC Approved,0.1,1117.63758169921,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
99,Roadway Reconstruction,602310,Updated 75% design submission needed for project to move forward. Last scored for FFYs 2020-24 TIP.,"$5,183,121",NSTF,Danvers,Danvers,"Reconstruction on Collins Street, from Sylvan Street to Centre and Holten Streets, Includes Rehab of D-03-023",N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,03/05/2010,Y,N/A,,N,10/7/1997 12:00:00 AM,2f5ff676-6f0d-40a6-8b60-692c9e1e3280,,,75% Design,0.1,1482.89507150905,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
100,Roadway Reconstruction,608406,Milton also in ICC subregion.,"$3,665,146",TRIC,Milton,MassDOT,"Reconstruction on Granite Avenue, from Neponset River to Squantum Street (5,000 feet)",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,02/10/2017,,N/A,,N,12/11/2015 12:00:00 AM,141017a7-0989-47c7-a892-074405023d45,,,25% Design,0.1,2320.39848556684,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
101,Roadway Reconstruction,S13019,"Pedestrian crossings, bike lanes, street trees. Design through Toole with some facilitation from MassDOT.  Three options were pushed through and endorsed by the Select Board. Town met with District 6 to run through this.  Should be in PRC soon.","$3,500,000",ICC,Brookline,Brookline,Boylston Street (High Street to Brington Road) Complete Streets Improvements,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2022,,,N/A,,N,8/20/2024 12:00:00 AM,46f06c5b-b491-4103-9228-f4e6bbcae0af,,,Preliminary Design,0.1,1616.05717539584,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
102,Capacity,612004,,"$38,218,334",ICC,"Everett, Somerville",DCR,Mystic River Bicycle and Pedestrian Crossing,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Bicycle and Pedestrian,2021,07/06/2023,,N/A,,N,1/28/2021 12:00:00 AM,6b0ed084-cb62-46e0-ad8f-df3c4706b745,,,75% Design,0.1,372.809393962647,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
103,Roadway Reconstruction,S13017,"Resulted from FFY 2012 Addressing Priority Corridors MPO Study.  Entirety of Morton from Gallivan to Arborway. Nearer term safety improvements proposed in 2027.  Still among City of Boston's priorities because of the Shattuck Redevelopment. High likelihood of LRTP status. Shea Circle no longer exists after the Forest Hills redesign, western terminus is now Circuit Drive.",$-,ICC,Boston,MassDOT,"Improvements on Morton Street (Route 203), from West of Gallivan Boulevard to Shea Circle",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2018,,,N/A,,N,8/20/2024 12:00:00 AM,4d3351e8-deef-4f5c-9c93-ee99d68c543e,,,Preliminary Design,0.1,6072.3153806616,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
104,Roadway Reconstruction,608449,Last scored for FFYs 2020-24 TIP.,"$31,036,006",ICC,Boston,Boston,"Roadway Improvements along Commonwealth Avenue (Route 30), from Alcorn Street to Warren/Kelton (Phase 3 and Phase 4)",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2017 or earlier,09/28/2017,,N/A,,N,2/11/2016 12:00:00 AM,6951c1c7-1986-425e-a32b-1619751d249f,,,25% Design,0.1,6574.21177828621,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
105,Roadway Reconstruction,S13016,,,ICC,Boston,Boston,RECONSTRUCTION OF ALBANY STREET,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2021,,,N/A,,N,8/20/2024 12:00:00 AM,165e9ab1-cb49-487f-9285-cd013aabe398,,,Preliminary Design,0.1,1908.29552046156,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
106,Intersection Improvements,610820,Milton also in ICC subregion.  Preliminary design.,"$1,799,330",TRIC,Milton,Milton,"MILTON- ADAMS STREET IMPROVEMENTS, FROM RANDOLPH AVENUE TO ELIOT STREET",N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,,,,Infrastructure,Complete Streets,2020,04/30/2020,,N/A,,N,4/30/2020 12:00:00 AM,74ab46b1-8c6e-4b0f-8e8c-30bb33650d9b,,,PRC Approved,0.1,160.463251993775,12/26/2024 9:12:25 PM,sstrumwasser_CTPS,1/10/2025 6:48:29 PM,ajacobsen_CTPS,
